Name,FF_max_velo,FC_max_velo,SI_max_velo,mlbID,CH_release_extension,CH_release_pos_x,CH_release_pos_z,CH_release_speed,CH_release_spin_rate,CH_release_extension_std,CH_release_pos_x_std,CH_release_pos_z_std,CH_pitch_type,CH_percentage,CU_release_extension,CU_release_pos_x,CU_release_pos_z,CU_release_speed,CU_release_spin_rate,CU_release_extension_std,CU_release_pos_x_std,CU_release_pos_z_std,CU_pitch_type,CU_percentage,FC_release_extension,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,FC_release_extension_std,FC_release_pos_x_std,FC_release_pos_z_std,FC_pitch_type,FC_percentage,FF_release_extension,FF_release_pos_x,FF_release_pos_z,FF_release_speed,FF_release_spin_rate,FF_release_extension_std,FF_release_pos_x_std,FF_release_pos_z_std,FF_pitch_type,FF_percentage,SI_release_extension,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,SI_release_extension_std,SI_release_pos_x_std,SI_release_pos_z_std,SI_pitch_type,SI_percentage,SL_release_extension,SL_release_pos_x,SL_release_pos_z,SL_release_speed,SL_release_spin_rate,SL_release_extension_std,SL_release_pos_x_std,SL_release_pos_z_std,SL_pitch_type,SL_percentage,ff max-avg,fc max-avg,si max-avg,TJS
Dustin May,101.2,96.4,100.7,669160,6.51,-2.4278,5.3454,90.192,1922.68,0.185439357,0.190812334,0.139535819,50.0,2.777777778,6.362934363,-2.553938224,5.40980695,85.83359073,3111.405405,0.306671111,0.245321992,0.281601802,259.0,14.38888889,6.33580786,-2.623406114,5.546637555,92.41026201,2665.617582,0.325007157,0.325376357,0.166249804,458.0,25.44444444,6.51474359,-2.271602564,5.761923077,97.91730769,2350.211538,0.230512609,0.278042691,0.211992439,156.0,8.666666667,6.43340935,-2.557696693,5.507685291,97.28198404,2401.493151,0.210433088,0.24734099,0.240717158,877.0,48.72222222,,,,,,,,,,,3.28269231,3.98973799,3.41801596,1
Nate Jones,98.5,,100.4,518858,5.72,-2.507,5.947,88.72,2002.4,0.229975844,0.342086734,0.138568074,10.0,0.680735194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.852819333,-2.067380952,5.933707483,97.55136054,2448.51986,0.238286879,0.478448887,0.125184887,882.0,60.04084411,5.500347222,-2.126325823,5.865632582,88.97209705,2294.806763,0.202075881,0.455446993,0.143722788,577.0,39.27842069,,,2.84863946,1
Zack Britton,98.0,,100.0,502154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.581132075,0.633518519,6.512962963,95.65,2153.169811,0.213087743,0.126746775,0.14549369,54.0,1.150159744,5.528335358,0.846142169,6.536857831,95.61554217,2039.559428,0.26305306,0.264301576,0.170549864,4150.0,88.39190628,5.303781513,1.146820084,6.29541841,81.83389121,2557.790598,0.370527912,0.392796154,0.274185152,478.0,10.18104366,2.35,,4.38445783,1
Justin Wilson,98.9,95.6,99.9,458677,,,,,,,,,,,5.255294118,1.519186047,6.525813953,82.17906977,2259.787879,0.239297525,0.205032079,0.174386084,86.0,1.462585034,5.754714475,1.32818543,6.477033113,90.64668874,2411.088356,0.259198262,0.372583647,0.159527775,1510.0,25.68027211,5.903290283,1.202270635,6.51087757,95.2087757,2370.390943,0.233883661,0.415560741,0.16719758,3259.0,55.42517007,5.778517398,1.300753012,6.514427711,95.53237952,2304.03653,0.239491086,0.261826234,0.166075191,664.0,11.29251701,5.517222222,1.581218837,6.324792244,84.50831025,2497.626335,0.319091774,0.430161028,0.158676903,361.0,6.139455782,3.6912243,4.95331126,4.36762048,1
Corbin Burnes,99.0,98.5,99.8,669203,6.551854905,-0.845251443,5.749851608,89.83124485,1995.447848,0.184346868,0.181682747,0.10314355,1213.0,9.385639121,6.380150517,-0.530047015,6.117574048,80.83267513,2821.485163,0.236824434,0.209941975,0.097025571,2127.0,16.45775302,6.454226909,-0.761812309,5.938456307,94.84059844,2696.720327,0.158877303,0.186248039,0.119660421,5882.0,45.51222532,6.2930839,-1.024829932,6.033185941,95.31780045,2616.653061,0.234406565,0.213921349,0.13693726,882.0,6.824512535,6.508375635,-0.759517766,5.955059222,96.12732657,2564.620543,0.154818408,0.205482487,0.111691429,1182.0,9.145775302,6.288461538,-0.893852259,5.897069597,87.34664225,2854.5,0.331793154,0.239658676,0.140300607,1638.0,12.67409471,3.68219955,3.65940156,3.67267343,0
Chris Sale,100.5,,99.8,519242,6.068464868,3.210395778,5.109914248,86.48604881,2064.948701,0.270762503,0.198596299,0.185749463,3032.0,20.09943653,,,,,,,,,,,,,,,,,,,,,6.066474912,3.196212848,5.405659955,94.52754874,2356.157239,0.251372968,0.164954677,0.186437066,3129.0,20.7424594,6.122746879,3.132571429,5.308236607,94.14203125,2252.128783,0.259322443,0.226844048,0.185613559,4480.0,29.69837587,5.510965111,3.165789829,5.354336184,79.41167867,2382.750171,0.251831851,0.192538118,0.172763052,4444.0,29.45972821,5.97245126,,5.65796875,1
Aaron Sanchez,99.0,94.7,99.7,592717,6.376085504,-1.833488993,5.75311541,87.98945964,1871.848627,0.323586871,0.279254267,0.21111338,1499.0,14.07247465,6.014959432,-1.684643399,5.96375822,78.4143652,2783.267141,0.474220606,0.255441958,0.223909386,1977.0,18.55989486,6.282352941,-1.565882353,6.155882353,92.44705882,2197.823529,0.209866905,0.176212188,0.10332345,17.0,0.159594442,6.437785978,-1.714952171,5.905371597,93.90857248,2263.050703,0.322109325,0.274750158,0.234549957,2718.0,25.51633496,6.447629848,-1.62914783,5.962646926,94.52744123,2244.224903,0.334806921,0.254326296,0.227517595,4424.0,41.53210665,6.147058824,-1.665294118,6.075294118,87.35882353,2366.916667,0.314479028,0.161984476,0.09760364,17.0,0.159594442,5.09142752,2.25294118,5.17255877,0
Justin Anderson,99.9,,99.6,605121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.457463884,-2.447913323,5.937736758,95.68089888,2284.850722,0.233051865,0.209798891,0.120435363,623.0,32.16313887,6.377407407,-2.345592593,6.030851852,96.66296296,2286.974074,0.25354135,0.167889315,0.13618684,270.0,13.93908105,5.98256705,-2.610431034,5.871954023,85.10057471,2329.283447,0.221350168,0.177060547,0.116495708,1044.0,53.89778007,4.21910112,,2.93703704,1
Chad Kuhl,99.6,,99.5,641771,6.520045558,-2.482013423,5.836129754,88.55167785,1704.25576,0.269887509,0.239270134,0.16109494,447.0,8.511043412,,,,,,,,,,,,,,,,,,,,,6.366694561,-2.378253968,6.084285714,95.36541353,2167.073887,0.245895014,0.250514939,0.17507312,1197.0,22.79131759,6.40735509,-2.429663028,5.98046037,94.66601804,2114.749878,0.276040419,0.233136731,0.18005625,2107.0,40.11805027,5.882844444,-2.393766347,5.889102005,88.04036617,2478.026087,0.249196034,0.217815446,0.130055617,1147.0,21.83929931,4.23458647,,4.83398196,1
Angel Zerpa,98.7,88.5,99.4,672582,5.629333333,2.1652,5.651288889,87.25511111,1538.915556,0.194413036,0.190795047,0.167616247,225.0,15.66852368,,,,,,,,,,,,,,,,,,,,,5.508779443,2.395074946,5.510021413,94.54646681,2053.269807,0.231592751,0.201576791,0.192304188,467.0,32.52089136,5.510075567,2.587783375,5.289974811,95.18916877,2048.501259,0.192928637,0.15446919,0.13204969,397.0,27.64623955,5.418443804,2.521354467,5.438587896,85.87262248,2465.051873,0.212485699,0.176113004,0.160977937,347.0,24.1643454,4.15353319,,4.21083123,0
Tommy Kahnle,100.6,97.9,99.4,592454,6.652913753,-2.020506135,5.799777607,89.44240798,1436.615144,0.268117354,0.33446727,0.205295653,1304.0,35.37710255,,,,,,,,,,,,,,,,,,,,,6.623224181,-1.651044701,5.938342541,96.838222,2285.923077,0.240944217,0.339774406,0.197879373,1991.0,54.01519262,6.663333333,-2.016854839,5.8775,96.94274194,2308.85,0.245611339,0.339380993,0.219091342,124.0,3.364080304,6.087698413,-1.868373016,5.766865079,85.32738095,2436.198758,0.194463867,0.291598377,0.174623367,252.0,6.836679327,3.761778,,2.45725806,1
Ken Giles,102.0,,99.4,571704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.596702047,-2.077488739,6.183126877,97.47072072,2376.124667,0.274778021,0.251353004,0.167788797,2664.0,54.55662503,5.6,-2.292962963,6.037407407,96.74074074,2263.740741,0.248069469,0.276764477,0.209790969,27.0,0.552938767,5.070969245,-2.214307339,6.120087156,86.59743119,2234.235732,0.357589302,0.245524281,0.180431998,2180.0,44.64468564,4.52927928,,2.65925926,1
Luis Severino,101.3,94.5,99.3,622663,6.464235501,-2.16227193,5.793912281,87.92307018,1726.856134,0.276417566,0.236180121,0.157995986,1140.0,13.05542831,,,,,,,,,,,6.210344828,-2.331034483,6.042413793,91.79482759,2157.0,0.246867857,0.213514367,0.162645998,58.0,0.664223546,6.156509204,-2.1829692,6.025608243,97.21520053,2327.261315,0.237622361,0.241947446,0.172408082,4513.0,51.68346312,,,,,,,,,,,5.8628685,-2.357398213,5.837567031,88.34922211,2663.999576,0.236250504,0.249245584,0.178503546,3021.0,34.59688502,4.08479947,2.70517241,,1
Dustin McGowan,98.9,,99.3,430661,6.988764045,-2.125561798,6.118539326,87.85786517,1825.966102,0.232373264,0.35849965,0.174233109,178.0,6.532110092,,,,,,,,,,,,,,,,,,,,,6.683264463,-2.130102881,6.170565844,94.57808642,2296.216441,0.233955432,0.377976331,0.145409641,972.0,35.66972477,6.73258427,-2.124405594,6.18006993,94.45426573,2151.574074,0.246220502,0.398096701,0.171288969,715.0,26.23853211,6.3904474,-2.217789855,6.169528986,87.19528986,2282.154206,0.18780797,0.394282376,0.153863255,828.0,30.3853211,4.32191358,,4.84573427,0
Bo Schultz,100.4,94.1,99.2,544759,6.363636364,-2.772727273,5.898181818,88.35454545,1828.090909,0.15666989,0.214387076,0.153611079,11.0,1.229050279,,,,,,,,,,,6.394610778,-2.683809524,5.894880952,91.55833333,2403.439024,0.166558895,0.173780816,0.185756225,168.0,18.77094972,6.435395189,-2.419111111,6.118410256,96.38324786,2320.020833,0.222529888,0.262513985,0.207668159,585.0,65.36312849,6.478947368,-2.566842105,5.910526316,96.33684211,2255.894737,0.161860528,0.135648755,0.129677964,19.0,2.122905028,6.213392857,-2.6225,5.950892857,86.33035714,2022.961538,0.209458992,0.214305919,0.181185056,112.0,12.51396648,4.01675214,2.54166667,2.86315789,1
Michael Fulmer,99.2,94.0,98.9,605242,6.197348799,-1.755748553,6.086757651,87.44921423,1737.431177,0.234876765,0.219198849,0.178998062,1209.0,17.06903854,5.8,-1.275,6.461666667,78.48333333,2547.916667,0.476731295,0.154831286,0.082553931,12.0,0.169419737,6.032258065,-1.350008251,6.483374587,88.91542904,2408.899687,0.178713985,0.184679292,0.182196657,1212.0,17.11139348,6.431562974,-1.188892246,6.476636455,95.6897281,2238.20203,0.214964537,0.244693365,0.213282055,1986.0,28.03896654,6.438574713,-1.341831956,6.326111111,95.66326905,2090.714154,0.217044611,0.2297753,0.181800267,2178.0,30.74968234,5.86185567,-1.074320988,6.293971193,85.74691358,2517.035461,0.176538865,0.176488812,0.14143911,486.0,6.861499365,3.5102719,5.08457096,3.23673095,1
